alias_id,species_id,biological_name
csa1,s5,IFNAR
csa10,s92,IFNGR
csa100,s943,CX3CL1/CX3CR1
csa101,s944,CCL19/CCRL2
csa102,s950,IL2R
csa103,s951,IL2/IL2R
csa104,s961,CD40LG/CD40
csa105,s1552,RANKL/RANK
csa106,s972,IL6R
csa107,s1017,IL6/IL6R
csa108,s989,MTORC1
csa109,s993,MTORC1
csa11,s378,IFNG/IFNGR
csa110,s1799,LTA/TNFR2
csa111,s1029,CXCL13/CXCR5
csa112,s1097,CD27/CD70
csa115,s1119,TNFSF15/TNFRSF25
csa116,s1662,BAFF-APRIL/TACI
csa117,s1661,BAFF-APRIL/BCMA
csa120,s1690,TRAF2/TRAF3
csa122,s1689,TRAF2/TRAF3
csa123,s2303,LTB-TNFSF14/LTBR
csa124,s1171,ITGA4/ITGB1
csa125,s1176,VCAM/ITGA4/ITGB1
csa126,s2290,TCR
csa127,s1184,MHC1/B2M
csa128,s2291,MHC1/B2M/TCR
csa138,s2302,sialic_acid/CD22
csa139,s1244,Ag/IgG
csa140,s1247,Ag/IgG/FCGR3A
csa158,s2065,Ag/IgG/FCGR1A
csa159,s1370,Ag/IgG/FCGR2A
csa16,s2003,CHUK/IKBKB/IKBKG
csa161,s1418,IgE/FCERI
csa162,s1429,Allergen/IgE/FCERI
csa168,s1506,CCL2/CCR2
csa169,s1512,IL21/IL21R
csa170,s1517,CCL5/CCR5
csa171,s1522,ICOSLG/ICOS
csa172,s1557,CCL11/CCR3
csa173,s1651,TLR10L/TLR10
csa174,s1812,RIPK1/TRAF2/TRAF5
csa175,s1813,RIPK1/TRAF2/TRAF5
csa176,s1700,LCK/ZAP70
csa177,s1706,LCK/ZAP70
csa178,s1716,CCL25/CCR9
csa179,s1724,SA/SIGLEC1
csa180,s1219,MHC1/B2M/LILR
csa181,s1753,FASL/FASR
csa183,s1785,PDL1/PD1
csa184,s1797,TNF/TNFR1
csa185,s1821,TGF/TGFBR1
csa186,s2316,SMAD2/SMAD3
csa187,s2317,SMAD2/SMAD3
csa188,s1834,SMAD2/SMAD3/SMAD4
csa189,s2175,SMAD2/SMAD3/SMAD4
csa190,s1852,IL21R
csa193,s2045,IL15R
csa194,s2021,IL15R
csa195,s1872,IL1R
csa196,s1983,CARD11/BCL10/MALT1
csa197,s1984,CARD11/BCL10/MALT1
csa198,s1992,AP1
csa2,s377,IFNA/IFNAR
csa20,s1657,BAFF/BAFFR
csa200,s2147,TRAIL/TRAILR
csa201,s2251,VEGFA/VEGFR2
csa202,s2306,CD80-86/CTLA4
csa203,s2266,FLT3LG/FLT3
csa204,s2270,CXCL1/CXCR2
csa21,s2027,CHUK/IKBKB/IKBKG
csa29,s1817,"IRAK4/IRAK1,2/IRAKM"
csa30,s1818,"IRAK4/IRAK1,2/IRAKM"
csa31,s821,TAB1/TAB2/TAB3
csa32,s822,TAB1/TAB2/TAB3
csa34,s2318,NFKB1/RELA
csa35,s2319,NFKB1/RELA
csa37,s1091,RELA/NFKB1
csa39,s1139,CHUK/CHUK
csa4,s390,STAT1/STAT2
csa41,s237,CHUK/CHUK
csa42,s242,NFKB2/RELB
csa44,s250,NFKB2/RELB
csa45,s2172,NFKB2/RELB
csa46,s258,EDA/EDAR
csa49,s303,TLR7/ssRNA
csa5,s717,STAT1/STAT2/IRF9
csa50,s304,TLR8/ssRNA
csa51,s2304,CpG_DNA/TLR9
csa52,s1072,TLR3/dsRNA/PolyIC
csa55,s359,IKBKE/TBK1
csa56,s362,IKBKE/TBK1
csa57,s380,IFNB/IFNAR
csa58,s411,IL7/IL7R
csa6,s2168,STAT1/STAT2/IRF9
csa60,s426,IL7R
csa62,s451,IL12R
csa63,s457,IL12/IL12R
csa64,s2012,BCR
csa65,s2036,BCR
csa66,s516,Calmodulin/Ca2+
csa71,s1801,TNF/TNFR2
csa72,s743,PIP3/IP3R
csa74,s756,LPS/CD14/TL4/LY96
csa76,s760,TLR4/LY96
csa81,s795,TLR5/flagellin
csa82,s2038,TLR2/TLR6/CD36
csa83,s2008,TLR1/TLR2/CD14
csa84,s2032,TLR1/TLR2/CD14
csa85,s2014,TLR2/TLR6/CD36
csa87,s2305,XCL1-XCL2/XCR1
csa88,s869,CXCL6/CXCR1
csa89,s873,CXCL5/CXCR2
csa90,s876,CXCL6/CXCR2
csa91,s2309,LXA4-CCL23/FPR2
csa92,s2307,CXCL9-10-11/CXCR3
csa93,s922,CXCL16/CXCR6
csa94,s925,CCL20/CCR6
csa95,s928,CCL16/CCR1
csa96,s931,C5a/C5AR1
csa97,s934,C3a/CA3R1
csa98,s2308,CCL19-21/CCR7
csa99,s938,CXCL12/CXCR4
sa1,s52,s52
sa10,s13,IFNA
sa100,s144,TNFAIP3
sa102,s146,TNFAIP3
sa103,s147,EDA
sa1032,s2019,FCGR1A
sa1033,s1349,FCGR2A
sa1036,s1353,igg
sa1037,s1354,Antigen
sa104,s148,EDAR
sa1043,s2043,s2043
sa1045,s1365,s1365
sa1046,s1366,s1366
sa1047,s1371,s1371
sa1048,s1372,s1372
sa1049,s1373,s1373
sa105,s149,Inflammation
sa1050,s1376,Phagocytosis
sa1051,s1379,Allergen
sa1052,s1419,s1419
sa1053,s1420,s1420
sa1055,s1422,s1422
sa1056,s1423,s1423
sa1057,s1386,s1386
sa1058,s1387,s1387
sa1060,s1389,s1389
sa1061,s1390,s1390
sa1062,s1391,s1391
sa1079,s1444,NLRX1
sa1080,s1445,USP18
sa1081,s1446,NLRC5
sa1082,s1447,IKBIP
sa1083,s1448,IKBIP
sa1084,s1449,TP53
sa1085,s1450,IKBIP
sa1097,s1464,CDKN1A
sa1098,s1465,CDKN1A
sa11,s59,s59
sa1117,s1446,NLRC5
sa1118,s1505,CCL2
sa1119,s1507,CCR2
sa1120,s1508,s1508
sa1121,s1509,s1509
sa1122,s1851,IL21
sa1123,s1511,s1511
sa1124,s1513,s1513
sa1125,s1514,s1514
sa1126,s1515,CCL5
sa1127,s1516,CCR5
sa1128,s1518,s1518
sa1129,s1519,s1519
sa1134,s1525,CCR9
sa1139,s1530,s1530
sa1140,s1531,s1531
sa1141,s1532,ICOSLG
sa1142,s1533,ICOS
sa1145,s1536,IL21
sa1147,s1538,PDCD1
sa115,s173,s173
sa1151,s1542,IL6
sa1154,s1789,PTPN6
sa1157,s1553,TNFRSF11A
sa1158,s1554,s1554
sa1159,s1555,CCR3
sa1160,s1556,CCL11
sa1161,s1558,s1558
sa1162,s1559,s1559
sa1168,s1565,TNF
sa1172,s1569,s1569
sa1176,s1575,PG
sa1177,s1576,ICAM1
sa1178,s1577,CD40
sa1179,s1578,ICAM1
sa118,s170,LPS
sa1180,s1579,CD40
sa1182,s1956,s1956
sa1183,s1586,s1586
sa1184,s1591,Chemotaxis/Infiltration
sa1185,s1066,IL17A
sa1186,s1068,IL17A
sa1187,s1067,IL23A
sa1188,s1069,IL23A
sa1189,s1592,IL17A
sa119,s171,s171
