hgnc_symbol,bnet_node,kind,source_match,suffix
ADAR,ADAR,protein,exact,protein
ADAR,ADAR1_homodimer,homodimer,alias,homodimer
ADAR,ADAR_rna,rna,exact,rna
AKT1,AKT,protein,alias,protein
FOS,AP1_complex,complex_member,manual_override,complex
JUN,AP1_complex,complex_member,manual_override,complex
ARF1,ARF1,protein,exact,protein
ARF1,ARF1_rna,rna,exact,rna
FCGR1A,Ag_IgG_FCGR1A_complex,complex_member,exact,complex
FCGR2A,Ag_IgG_FCGR2A_complex,complex_member,exact,complex
FCGR3A,Ag_IgG_FCGR3A_complex,complex_member,exact,complex
FCER1A,Allergen_IgE_FCERI_complex,complex_member,manual_override,complex
FCER1G,Allergen_IgE_FCERI_complex,complex_member,manual_override,complex
MS4A2,Allergen_IgE_FCERI_complex,complex_member,manual_override,complex
BAD,BAD,protein,exact,protein
TNFSF13B,BAFF_APRIL_BCMA_complex,complex_member,alias,complex
TNFSF13,BAFF_APRIL_BCMA_complex,complex_member,alias,complex
TNFRSF17,BAFF_APRIL_BCMA_complex,complex_member,alias,complex
TNFSF13B,BAFF_APRIL_TACI_complex,complex_member,alias,complex
TNFSF13,BAFF_APRIL_TACI_complex,complex_member,alias,complex
TNFRSF13B,BAFF_APRIL_TACI_complex,complex_member,alias,complex
TNFSF13B,BAFF_BAFFR_complex,complex_member,alias,complex
TNFRSF13C,BAFF_BAFFR_complex,complex_member,alias,complex
BCL2A1,BCL2A1_rna,rna,exact,rna
BCL2L1,BCL2L1_rna,rna,exact,rna
BCL2,BCL2_rna,rna,exact,rna
CD79A,BCR_complex,complex_member,manual_override,complex
CD79B,BCR_complex,complex_member,manual_override,complex
BIRC2,BIRC2_Cell,cell_localised,exact,cell_localised
BIRC2,BIRC2_Cell_1,protein,exact,protein
BIRC2,BIRC2_rna,rna,exact,rna
BLNK,BLNK_phosphorylated,phosphorylated,exact,phosphorylated
BST2,BST2,protein,exact,protein
BST2,BST2_rna,rna,exact,rna
BTK,BTK_phosphorylated,phosphorylated,exact,phosphorylated
CA3R1,C3a_CA3R1_complex,complex_member,heuristic,complex
C5AR1,C5a_C5AR1_complex,complex_member,heuristic,complex
CALM1,CALM1,protein,heuristic,protein
CAMKMT,CAMKMT,protein,exact,protein
CARD11,CARD11_BCL10_MALT1_complex,complex_member,exact,complex
BCL10,CARD11_BCL10_MALT1_complex,complex_member,heuristic,complex
MALT1,CARD11_BCL10_MALT1_complex,complex_member,heuristic,complex
CASP3,CASP3,protein,exact,protein
CASP7,CASP7,protein,exact,protein
CASP8,CASP8,protein,exact,protein
CCL11,CCL11,protein,heuristic,protein
CCL11,CCL11_CCR3_complex,complex_member,heuristic,complex
CCR3,CCL11_CCR3_complex,complex_member,heuristic,complex
CCL13,CCL13,protein,heuristic,protein
CCL16,CCL16,protein,heuristic,protein
CCL16,CCL16_CCR1_complex,complex_member,heuristic,complex
CCR1,CCL16_CCR1_complex,complex_member,exact,complex
CCL19,CCL19_21_CCR7_complex,complex_member,heuristic,complex
CCR7,CCL19_21_CCR7_complex,complex_member,exact,complex
CCL19,CCL19_CCRL2_complex,complex_member,heuristic,complex
CCRL2,CCL19_CCRL2_complex,complex_member,exact,complex
CCL19,CCL19_Extracellular_ligands,secreted_ligand,heuristic,secreted_ligand
CCL19,CCL19_Secreted_molecules,secreted,heuristic,secreted
CCL20,CCL20,protein,heuristic,protein
