source_alias,relation,target_alias,source_name,target_name
csa2,POSITIVE,sa9,IFNA/IFNAR,TYK2
csa2,POSITIVE,sa8,IFNA/IFNAR,JAK1
csa2,POSITIVE,sa269,IFNA/IFNAR,PI3K
sa10,POSITIVE,csa2,IFNA,IFNA/IFNAR
csa57,POSITIVE,sa9,IFNB/IFNAR,TYK2
csa57,POSITIVE,sa8,IFNB/IFNAR,JAK1
csa57,POSITIVE,sa269,IFNB/IFNAR,PI3K
sa254,POSITIVE,csa57,IFNB1,IFNB/IFNAR
csa5,POSITIVE,csa6,STAT1/STAT2/IRF9,STAT1/STAT2/IRF9
sa16,POSITIVE,csa5,IRF9,STAT1/STAT2/IRF9
csa4,POSITIVE,csa5,STAT1/STAT2,STAT1/STAT2/IRF9
sa20,POSITIVE,csa4,STAT1,STAT1/STAT2
sa20,POSITIVE,sa417,STAT1,STAT1 homodimer
sa21,POSITIVE,csa4,STAT2,STAT1/STAT2
csa6,POSITIVE,sa419,STAT1/STAT2/IRF9,IP6K2
csa6,POSITIVE,sa420,STAT1/STAT2/IRF9,ISG20
csa6,POSITIVE,sa421,STAT1/STAT2/IRF9,ADAR
csa6,POSITIVE,sa422,STAT1/STAT2/IRF9,ISG15
csa6,POSITIVE,sa423,STAT1/STAT2/IRF9,OAS1
csa6,POSITIVE,sa424,STAT1/STAT2/IRF9,OAS2
csa6,POSITIVE,sa425,STAT1/STAT2/IRF9,OAS3
csa6,POSITIVE,sa426,STAT1/STAT2/IRF9,OASL
csa6,POSITIVE,sa427,STAT1/STAT2/IRF9,RSAD2
csa6,POSITIVE,sa428,STAT1/STAT2/IRF9,IFI35
csa6,POSITIVE,sa429,STAT1/STAT2/IRF9,IFIT2
csa6,POSITIVE,sa430,STAT1/STAT2/IRF9,IFIT3
csa6,POSITIVE,sa431,STAT1/STAT2/IRF9,IFIT5
csa6,POSITIVE,sa432,STAT1/STAT2/IRF9,MX1
csa6,POSITIVE,sa433,STAT1/STAT2/IRF9,MX2
csa6,POSITIVE,sa434,STAT1/STAT2/IRF9,IFITM1
csa6,POSITIVE,sa435,STAT1/STAT2/IRF9,IFITM2
csa6,POSITIVE,sa436,STAT1/STAT2/IRF9,IFITM3
csa6,POSITIVE,sa437,STAT1/STAT2/IRF9,GBP2
csa6,POSITIVE,sa438,STAT1/STAT2/IRF9,XAF1
csa6,POSITIVE,sa439,STAT1/STAT2/IRF9,IFI6
csa6,POSITIVE,sa440,STAT1/STAT2/IRF9,BST2
csa6,POSITIVE,sa441,STAT1/STAT2/IRF9,IFIT1
csa6,POSITIVE,sa442,STAT1/STAT2/IRF9,EIF2AK2
csa6,POSITIVE,sa443,STAT1/STAT2/IRF9,HLA-A
csa6,POSITIVE,sa444,STAT1/STAT2/IRF9,HLA-B
csa6,POSITIVE,sa445,STAT1/STAT2/IRF9,HLA-C
csa6,POSITIVE,sa446,STAT1/STAT2/IRF9,HLA-G
csa6,POSITIVE,sa447,STAT1/STAT2/IRF9,HLA-H
csa6,POSITIVE,sa492,STAT1/STAT2/IRF9,IRF1
csa6,POSITIVE,sa493,STAT1/STAT2/IRF9,IRF5
csa6,POSITIVE,sa494,STAT1/STAT2/IRF9,IRF7
csa6,POSITIVE,sa495,STAT1/STAT2/IRF9,IRF9
csa6,POSITIVE,sa1256,STAT1/STAT2/IRF9,SOCS3
csa6,POSITIVE,sa1446,STAT1/STAT2/IRF9,LAMP3
csa6,POSITIVE,sa1461,STAT1/STAT2/IRF9,CXCL9
csa6,POSITIVE,sa1462,STAT1/STAT2/IRF9,CXCL10
csa6,POSITIVE,sa1463,STAT1/STAT2/IRF9,CXCL11
csa6,POSITIVE,sa1684,STAT1/STAT2/IRF9,RIPK1
csa6,POSITIVE,sa1736,STAT1/STAT2/IRF9,IFI27
csa11,POSITIVE,sa8,IFNG/IFNGR,JAK1
csa11,POSITIVE,sa54,IFNG/IFNGR,JAK2
csa30,POSITIVE,sa131,"IRAK4/IRAK1,2/IRAKM",TRAF6
sa122,POSITIVE,csa30,MYD88,"IRAK4/IRAK1,2/IRAKM"
csa84,POSITIVE,csa30,TLR1/TLR2/CD14,"IRAK4/IRAK1,2/IRAKM"
csa84,POSITIVE,sa500,TLR1/TLR2/CD14,MHC_Class_1_Activation
csa84,POSITIVE,sa600,TLR1/TLR2/CD14,TIRAP
csa84,POSITIVE,sa1180,TLR1/TLR2/CD14,CD40
csa84,POSITIVE,sa1190,TLR1/TLR2/CD14,IL23A
csa82,POSITIVE,csa30,TLR2/TLR6/CD36,"IRAK4/IRAK1,2/IRAKM"
csa82,POSITIVE,sa500,TLR2/TLR6/CD36,MHC_Class_1_Activation
csa82,POSITIVE,sa600,TLR2/TLR6/CD36,TIRAP
csa82,POSITIVE,sa1180,TLR2/TLR6/CD36,CD40
csa175,POSITIVE,csa32,RIPK1/TRAF2/TRAF5,TAB1/TAB2/TAB3
csa175,POSITIVE,csa21,RIPK1/TRAF2/TRAF5,CHUK/IKBKB/IKBKG
csa175,POSITIVE,sa1608,RIPK1/TRAF2/TRAF5,BIRC2
sa1345,POSITIVE,csa175,TRADD,RIPK1/TRAF2/TRAF5
sa1345,POSITIVE,sa668,TRADD,FADD
csa45,POSITIVE,sa179,NFKB2/RELB,Lymphoid_organ_development
csa45,POSITIVE,sa1179,NFKB2/RELB,ICAM1
csa45,POSITIVE,sa1205,NFKB2/RELB,TNFSF13B
csa45,POSITIVE,sa1604,NFKB2/RELB,CXCL12
csa45,POSITIVE,sa1605,NFKB2/RELB,CCL13
csa45,POSITIVE,sa1606,NFKB2/RELB,CCL19
csa45,POSITIVE,sa1607,NFKB2/RELB,CCL21
csa39,POSITIVE,csa45,CHUK/CHUK,NFKB2/RELB
sa1209,POSITIVE,csa45,PRMT5,NFKB2/RELB
sa1209,POSITIVE,csa35,PRMT5,NFKB1/RELA
sa1209,POSITIVE,sa427,PRMT5,RSAD2
sa141,POSITIVE,csa45,NFKB2,NFKB2/RELB
csa74,POSITIVE,sa500,LPS/CD14/TL4/LY96,MHC_Class_1_Activation
csa74,POSITIVE,sa600,LPS/CD14/TL4/LY96,TIRAP
csa74,POSITIVE,sa601,LPS/CD14/TL4/LY96,EIF2AK2 homodimer
csa74,POSITIVE,sa634,LPS/CD14/TL4/LY96,TICAM2
csa74,POSITIVE,sa1151,LPS/CD14/TL4/LY96,IL6
csa74,POSITIVE,sa1179,LPS/CD14/TL4/LY96,ICAM1
csa74,POSITIVE,sa1180,LPS/CD14/TL4/LY96,CD40
csa74,POSITIVE,sa1200,LPS/CD14/TL4/LY96,IL12
csa74,POSITIVE,sa1201,LPS/CD14/TL4/LY96,CCL2
csa74,POSITIVE,sa1202,LPS/CD14/TL4/LY96,CCL5
csa74,POSITIVE,sa1205,LPS/CD14/TL4/LY96,TNFSF13B
sa118,POSITIVE,csa74,LPS,LPS/CD14/TL4/LY96
csa116,POSITIVE,csa122,BAFF-APRIL/TACI,TRAF2/TRAF3
sa66,POSITIVE,csa116,TNFSF13,BAFF-APRIL/TACI
sa66,POSITIVE,csa117,TNFSF13,BAFF-APRIL/BCMA
sa65,POSITIVE,csa116,TNFSF13B,BAFF-APRIL/TACI
sa65,POSITIVE,csa20,TNFSF13B,BAFF/BAFFR
sa65,POSITIVE,csa117,TNFSF13B,BAFF-APRIL/BCMA
csa50,POSITIVE,sa122,TLR8/ssRNA,MYD88
sa206,POSITIVE,csa50,ssRNA,TLR8/ssRNA
sa206,POSITIVE,csa49,ssRNA,TLR7/ssRNA
csa32,POSITIVE,sa248,TAB1/TAB2/TAB3,MAP3K7
sa131,POSITIVE,csa32,TRAF6,TAB1/TAB2/TAB3
sa131,POSITIVE,csa21,TRAF6,CHUK/IKBKB/IKBKG
sa131,POSITIVE,sa1473,TRAF6,IRF5
csa21,POSITIVE,csa35,CHUK/IKBKB/IKBKG,NFKB1/RELA
sa248,POSITIVE,csa21,MAP3K7,CHUK/IKBKB/IKBKG
sa248,POSITIVE,sa610,MAP3K7,MAP2K6
sa248,POSITIVE,sa660,MAP3K7,MAP2K3
sa248,POSITIVE,sa1521,MAP3K7,MAP2K7
sa248,POSITIVE,sa1522,MAP3K7,MAP2K4
csa110,POSITIVE,csa21,LTA/TNFR2,CHUK/IKBKB/IKBKG
sa1082,NEGATIVE,csa21,IKBIP,CHUK/IKBKB/IKBKG
sa780,POSITIVE,csa21,AKT,CHUK/IKBKB/IKBKG
sa780,POSITIVE,csa109,AKT,MTORC1
sa780,NEGATIVE,sa851,AKT,BAD
sa780,POSITIVE,sa1617,AKT,MDM2
csa197,POSITIVE,csa21,CARD11/BCL10/MALT1,CHUK/IKBKB/IKBKG
sa1649,POSITIVE,csa21,GBP1,CHUK/IKBKB/IKBKG
sa1656,POSITIVE,csa21,GBP5,CHUK/IKBKB/IKBKG
csa201,POSITIVE,csa21,VEGFA/VEGFR2,CHUK/IKBKB/IKBKG
csa20,POSITIVE,csa21,BAFF/BAFFR,CHUK/IKBKB/IKBKG
csa20,POSITIVE,csa122,BAFF/BAFFR,TRAF2/TRAF3
sa456,POSITIVE,csa21,RSAD2,CHUK/IKBKB/IKBKG
csa37,POSITIVE,sa100,RELA/NFKB1,TNFAIP3
csa37,POSITIVE,sa140,RELA/NFKB1,NFKB1
csa37,POSITIVE,sa141,RELA/NFKB1,NFKB2
csa37,POSITIVE,sa203,RELA/NFKB1,IL15
csa37,POSITIVE,sa831,RELA/NFKB1,CXCL8
csa37,POSITIVE,sa1151,RELA/NFKB1,IL6
csa37,POSITIVE,sa1179,RELA/NFKB1,ICAM1
csa37,POSITIVE,sa1189,RELA/NFKB1,IL17A
csa37,POSITIVE,sa1190,RELA/NFKB1,IL23A
csa37,POSITIVE,sa1200,RELA/NFKB1,IL12
csa37,POSITIVE,sa1265,RELA/NFKB1,TNF
csa37,POSITIVE,sa1281,RELA/NFKB1,Cell_Proliferation/Survival
csa37,POSITIVE,sa1566,RELA/NFKB1,BIRC2
csa37,POSITIVE,sa1567,RELA/NFKB1,CFLAR
csa37,POSITIVE,sa1568,RELA/NFKB1,XIAP
csa37,POSITIVE,sa1569,RELA/NFKB1,BCL2L1
csa37,POSITIVE,sa1570,RELA/NFKB1,BCL2
csa37,POSITIVE,sa1571,RELA/NFKB1,BCL2A1
csa37,POSITIVE,sa1575,RELA/NFKB1,GADD45B
csa37,POSITIVE,sa1582,RELA/NFKB1,NFKBIA
csa37,POSITIVE,sa1598,RELA/NFKB1,CXCL1
csa37,POSITIVE,sa1599,RELA/NFKB1,CXCL2
csa37,POSITIVE,sa1600,RELA/NFKB1,CXCL3
