category,name
only_in_sbmlqual,ADAR_rna
only_in_sbmlqual,AP1_complex
only_in_sbmlqual,ARF1_rna
only_in_sbmlqual,Ag/IgG/FCGR1A_complex
only_in_sbmlqual,Ag/IgG/FCGR2A_complex
only_in_sbmlqual,Ag/IgG/FCGR3A_complex
only_in_sbmlqual,Ag/IgG_complex
only_in_sbmlqual,Allergen/IgE/FCERI_complex
only_in_sbmlqual,Angiogenesis_phenotype
only_in_sbmlqual,Apoptosis_phenotype
only_in_sbmlqual,BAFF-APRIL/BCMA_complex
only_in_sbmlqual,BAFF-APRIL/TACI_complex
only_in_sbmlqual,BAFF/BAFFR_complex
only_in_sbmlqual,BCL2A1_rna
only_in_sbmlqual,BCL2L1_rna
only_in_sbmlqual,BCL2_rna
only_in_sbmlqual,BCR_complex
only_in_sbmlqual,BIRC2_Cell
only_in_sbmlqual,BIRC2_Cell_1
only_in_sbmlqual,BIRC2_rna
only_in_sbmlqual,BLNK_phosphorylated
only_in_sbmlqual,BST2_rna
only_in_sbmlqual,BTK_phosphorylated
only_in_sbmlqual,B_Cell_Activation/Survival_phenotype
only_in_sbmlqual,C3a
only_in_sbmlqual,C3a/CA3R1_complex
only_in_sbmlqual,C5a/C5AR1_complex
only_in_sbmlqual,CALM1
only_in_sbmlqual,CAMKMT
only_in_sbmlqual,CARD11/BCL10/MALT1_complex
only_in_sbmlqual,CCL11/CCR3_complex
only_in_sbmlqual,CCL16
only_in_sbmlqual,CCL16/CCR1_complex
only_in_sbmlqual,CCL19-21/CCR7_complex
only_in_sbmlqual,CCL19/CCRL2_complex
only_in_sbmlqual,CCL19_Extracellular_ligands
only_in_sbmlqual,CCL19_Secreted_molecules
only_in_sbmlqual,CCL2/CCR2_complex
only_in_sbmlqual,CCL20
only_in_sbmlqual,CCL20/CCR6_complex
only_in_sbmlqual,CCL21_Extracellular_ligands
only_in_sbmlqual,CCL21_Secreted_molecules
only_in_sbmlqual,CCL23
only_in_sbmlqual,CCL25
only_in_sbmlqual,CCL25/CCR9_complex
only_in_sbmlqual,CCL2_Extracellular_ligands
only_in_sbmlqual,CCL2_Secreted_molecules
only_in_sbmlqual,CCL5/CCR5_complex
only_in_sbmlqual,CCL5_Extracellular_ligands
only_in_sbmlqual,CCL5_Secreted_molecules
only_in_sbmlqual,CCR7
only_in_sbmlqual,CD27/CD70_complex
only_in_sbmlqual,CD279
only_in_sbmlqual,CD40LG/CD40_complex
only_in_sbmlqual,CD40_rna
only_in_sbmlqual,CD80
only_in_sbmlqual,"CD80,86_rna"
only_in_sbmlqual,CD80-86/CTLA4_complex
only_in_sbmlqual,CD82_rna
only_in_sbmlqual,CD86
only_in_sbmlqual,CDKN1A_rna
only_in_sbmlqual,CFLAR_rna
only_in_sbmlqual,CHUK/CHUK_complex
only_in_sbmlqual,CHUK/IKBKB/IKBKG_complex
only_in_sbmlqual,CISH_rna
only_in_sbmlqual,CTLA4
only_in_sbmlqual,CX3CL1/CX3CR1_complex
only_in_sbmlqual,CXCL1/CXCR2_complex
only_in_sbmlqual,CXCL10_Extracellular_ligands
only_in_sbmlqual,CXCL10_Secreted_molecules
only_in_sbmlqual,CXCL11_Extracellular_ligands
only_in_sbmlqual,CXCL11_Secreted_molecules
only_in_sbmlqual,CXCL12/CXCR4_complex
only_in_sbmlqual,CXCL12_Extracellular_ligands
only_in_sbmlqual,CXCL12_Secreted_molecules
only_in_sbmlqual,CXCL13/CXCR5_complex
only_in_sbmlqual,CXCL16
only_in_sbmlqual,CXCL16/CXCR6_complex
only_in_sbmlqual,CXCL1_Extracellular_ligands
only_in_sbmlqual,CXCL1_Secreted_molecules
only_in_sbmlqual,CXCL5
only_in_sbmlqual,CXCL5/CXCR2_complex
only_in_sbmlqual,CXCL6
only_in_sbmlqual,CXCL6/CXCR1_complex
only_in_sbmlqual,CXCL6/CXCR2_complex
only_in_sbmlqual,CXCL9-10-11/CXCR3_complex
only_in_sbmlqual,CXCL9_Extracellular_ligands
only_in_sbmlqual,CXCL9_Secreted_molecules
only_in_sbmlqual,CXCR2
only_in_sbmlqual,CXCR3
only_in_sbmlqual,Calmodulin/Ca2+_complex
only_in_sbmlqual,Cell_Proliferation/Survival_phenotype
only_in_sbmlqual,Chemotaxis/Infiltration_phenotype
only_in_sbmlqual,CpG_DNA/TLR9_complex
only_in_sbmlqual,CpG_DNA_simple_molecule
only_in_sbmlqual,DAG_simple_molecule
only_in_sbmlqual,DUSP5
only_in_sbmlqual,DUSP6
only_in_sbmlqual,EDA
only_in_sbmlqual,EDA/EDAR_complex
only_in_sbmlqual,EDARADD
only_in_sbmlqual,EIF2AK2_rna
only_in_sbmlqual,ETS1_rna
only_in_sbmlqual,FADD_phosphorylated
only_in_sbmlqual,FASL/FASR_complex
only_in_sbmlqual,FAS_rna
only_in_sbmlqual,FCGR1A_rna
only_in_sbmlqual,FCGR1BP_rna
only_in_sbmlqual,FLT3LG/FLT3_complex
only_in_sbmlqual,FOS_phosphorylated
only_in_sbmlqual,FPR2
only_in_sbmlqual,Fibrosis_phenotype
only_in_sbmlqual,GADD45B_rna
only_in_sbmlqual,GBP1_rna
only_in_sbmlqual,GBP2_rna
only_in_sbmlqual,GBP3_rna
only_in_sbmlqual,GBP4_rna
only_in_sbmlqual,GBP5_rna
only_in_sbmlqual,GBP6_rna
only_in_sbmlqual,GLUT1
only_in_sbmlqual,GLUT1_rna
only_in_sbmlqual,GORAB
only_in_sbmlqual,HDAC3
only_in_sbmlqual,HERC5
only_in_sbmlqual,HLA-A_rna
only_in_sbmlqual,HLA-B_rna
only_in_sbmlqual,HLA-C_rna
only_in_sbmlqual,HLA-DQA1_rna
only_in_sbmlqual,HLA-DQA2_rna
only_in_sbmlqual,HLA-DRA_rna
only_in_sbmlqual,HLA-DRB4_rna
only_in_sbmlqual,HLA-G_rna
only_in_sbmlqual,HLA-H_rna
only_in_sbmlqual,HNRNPA2B1_rna
only_in_sbmlqual,ICAM1_rna
only_in_sbmlqual,ICOSLG/ICOS_complex
only_in_sbmlqual,IFI27_rna
only_in_sbmlqual,IFI30_rna
only_in_sbmlqual,IFI35_rna
only_in_sbmlqual,IFI6_rna
only_in_sbmlqual,IFIT1_rna
only_in_sbmlqual,IFIT2_rna
only_in_sbmlqual,IFIT3_rna
only_in_sbmlqual,IFIT5_rna
only_in_sbmlqual,IFITM1_rna
only_in_sbmlqual,IFITM2_rna
only_in_sbmlqual,IFITM3_rna
only_in_sbmlqual,IFNA/IFNAR_complex
only_in_sbmlqual,IFNAR_complex
only_in_sbmlqual,IFNA_Extracellular_ligands
only_in_sbmlqual,IFNA_Secreted_molecules
only_in_sbmlqual,IFNB/IFNAR_complex
only_in_sbmlqual,IFNB1_Extracellular_ligands
only_in_sbmlqual,IFNB1_Secreted_molecules
only_in_sbmlqual,IFNG/IFNGR_complex
only_in_sbmlqual,IKBIP_rna
only_in_sbmlqual,IKBKE/TBK1_complex
only_in_sbmlqual,IL12/IL12R_complex
only_in_sbmlqual,IL15R_complex
only_in_sbmlqual,IL1R1_rna
only_in_sbmlqual,IL1R_complex
only_in_sbmlqual,IL2/IL2R_complex
only_in_sbmlqual,IL21/IL21R_complex
only_in_sbmlqual,IL6/IL6R_complex
only_in_sbmlqual,IL7/IL7R_complex
only_in_sbmlqual,IP6K2_rna
only_in_sbmlqual,"IRAK4/IRAK1,2/IRAKM_complex"
only_in_sbmlqual,IRF1_Cell
only_in_sbmlqual,IRF1_nucleus
only_in_sbmlqual,IRF1_rna
only_in_sbmlqual,IRF5_Cell
only_in_sbmlqual,IRF5_nucleus
only_in_sbmlqual,IRF5_rna
only_in_sbmlqual,IRF7_Cell
only_in_sbmlqual,IRF7_nucleus
only_in_sbmlqual,IRF7_rna
only_in_sbmlqual,IRF9_rna
only_in_sbmlqual,ISG15_Cell
only_in_sbmlqual,ISG15_Cell_active
only_in_sbmlqual,ISG15_rna
only_in_sbmlqual,ISG20_rna
only_in_sbmlqual,Inflammation_phenotype
only_in_sbmlqual,JAK1_phosphorylated
only_in_sbmlqual,JAK2_phosphorylated
only_in_sbmlqual,JAK3_phosphorylated
only_in_sbmlqual,JUN_phosphorylated
only_in_sbmlqual,KPNB1
only_in_sbmlqual,LAMP3_rna
only_in_sbmlqual,LAT_phosphorylated
only_in_sbmlqual,LCK/ZAP70_complex
only_in_sbmlqual,LMNB1_rna
only_in_sbmlqual,LPS/CD14/TL4/LY96_complex
only_in_sbmlqual,LPS_simple_molecule
only_in_sbmlqual,LTA/TNFR2_complex
only_in_sbmlqual,LTB
only_in_sbmlqual,LTB-TNFSF14/LTBR_complex
only_in_sbmlqual,LTBR
only_in_sbmlqual,LXA4
only_in_sbmlqual,LXA4-CCL23/FPR2_complex
only_in_sbmlqual,LYN_phosphorylated
only_in_sbmlqual,Lymphoid_organ_development_phenotype
only_in_sbmlqual,MAP2K1_phosphorylated
