cohort,gene,direction,bnet_node
PRECISESADS,ADAR,1,ADAR
PRECISESADS,ADAR,1,ADAR_rna
PRECISESADS,FCGR1A,1,Ag_IgG_FCGR1A_complex
PRECISESADS,FCGR3A,1,Ag_IgG_FCGR3A_complex
PRECISESADS,BCL2A1,1,BCL2A1_rna
PRECISESADS,BST2,1,BST2
PRECISESADS,BST2,1,BST2_rna
PRECISESADS,BTK,1,BTK_phosphorylated
PRECISESADS,CCR1,1,CCL16_CCR1_complex
PRECISESADS,CCRL2,1,CCL19_CCRL2_complex
PRECISESADS,CCL2,1,CCL2_CCR2_complex
PRECISESADS,CCL2,1,CCL2_Extracellular_ligands
PRECISESADS,CCL2,1,CCL2_Secreted_molecules
PRECISESADS,CD40LG,-1,CD40LG
PRECISESADS,CD40LG,-1,CD40LG_CD40_complex
PRECISESADS,CDKN1A,1,CDKN1A_rna
PRECISESADS,CXCL10,1,CXCL10_Extracellular_ligands
PRECISESADS,CXCL10,1,CXCL10_Secreted_molecules
PRECISESADS,CXCL11,1,CXCL11_Extracellular_ligands
PRECISESADS,CXCL11,1,CXCL11_Secreted_molecules
PRECISESADS,CXCR6,-1,CXCL16_CXCR6_complex
PRECISESADS,DUSP5,1,DUSP5
PRECISESADS,EDAR,-1,EDA_EDAR_complex
PRECISESADS,EIF2AK2,1,EIF2AK2
PRECISESADS,EIF2AK2,1,EIF2AK2_homodimer
PRECISESADS,EIF2AK2,1,EIF2AK2_rna
PRECISESADS,FCGR1A,1,FCGR1A
PRECISESADS,FCGR1A,1,FCGR1A_rna
PRECISESADS,GADD45B,1,GADD45B_rna
PRECISESADS,GBP1,1,GBP1
PRECISESADS,GBP1,1,GBP1_rna
PRECISESADS,GBP2,1,GBP2
PRECISESADS,GBP2,1,GBP2_rna
PRECISESADS,GBP3,1,GBP3
PRECISESADS,GBP3,1,GBP3_rna
PRECISESADS,GBP4,1,GBP4
PRECISESADS,GBP4,1,GBP4_rna
PRECISESADS,GBP5,1,GBP5
PRECISESADS,GBP5,1,GBP5_rna
PRECISESADS,GBP6,1,GBP6
PRECISESADS,GBP6,1,GBP6_rna
PRECISESADS,HERC5,1,HERC5
PRECISESADS,IFI27,1,IFI27
PRECISESADS,IFI27,1,IFI27_rna
PRECISESADS,IFI30,1,IFI30
PRECISESADS,IFI30,1,IFI30_rna
PRECISESADS,IFI35,1,IFI35
PRECISESADS,IFI35,1,IFI35_rna
PRECISESADS,IFI6,1,IFI6
PRECISESADS,IFI6,1,IFI6_rna
PRECISESADS,IFIH1,1,IFIH1
PRECISESADS,IFIT1,1,IFIT1
PRECISESADS,IFIT1,1,IFIT1_rna
PRECISESADS,IFIT2,1,IFIT2
PRECISESADS,IFIT2,1,IFIT2_rna
PRECISESADS,IFIT3,1,IFIT3
PRECISESADS,IFIT3,1,IFIT3_rna
PRECISESADS,IFIT5,1,IFIT5
PRECISESADS,IFIT5,1,IFIT5_rna
PRECISESADS,IFITM1,1,IFITM1
PRECISESADS,IFITM1,1,IFITM1_rna
PRECISESADS,IFITM2,1,IFITM2
PRECISESADS,IFITM2,1,IFITM2_rna
PRECISESADS,IFITM3,1,IFITM3
PRECISESADS,IFITM3,1,IFITM3_rna
PRECISESADS,IL15,1,IL15
PRECISESADS,IL7R,-1,IL7_IL7R_complex
PRECISESADS,IRF5,1,IRF5_Cell
