node,perturbation,n_fp,disease_present,min_active_pheno,max_active_pheno,delta_min_pheno,delta_max_pheno,disease_eliminated,best_pheno_str
AP1_complex,force=0,2,False,2,2,0,5,True,Chemotaxis_Infiltration_phenotype|Regulated_Necrosis_phenotype
AP1_complex,force=1,2,True,7,7,-5,0,False,B_Cell_Activation_Survival_phenotype|Cell_Proliferation_Survival_phenotype|Chemotaxis_Infiltration_phenotype|Inflammation_phenotype|MHC_Class_2_Activation_phenotype|Regulated_Necrosis_phenotype|T_Cell_Activation_Differentiation_phenotype
Angiogenesis_phenotype,force=0,2,True,2,7,0,0,False,Chemotaxis_Infiltration_phenotype|Regulated_Necrosis_phenotype
Angiogenesis_phenotype,force=1,2,True,3,8,-1,-1,False,Angiogenesis_phenotype|Chemotaxis_Infiltration_phenotype|Regulated_Necrosis_phenotype
Apoptosis_phenotype,force=0,2,True,2,7,0,0,False,Chemotaxis_Infiltration_phenotype|Regulated_Necrosis_phenotype
Apoptosis_phenotype,force=1,2,True,3,8,-1,-1,False,Apoptosis_phenotype|Chemotaxis_Infiltration_phenotype|Regulated_Necrosis_phenotype
BCL2A1_rna,force=0,2,True,2,7,0,0,False,Chemotaxis_Infiltration_phenotype|Regulated_Necrosis_phenotype
BCL2A1_rna,force=1,2,True,2,7,0,0,False,Chemotaxis_Infiltration_phenotype|Regulated_Necrosis_phenotype
BCL2L1_rna,force=0,2,True,2,7,0,0,False,Chemotaxis_Infiltration_phenotype|Regulated_Necrosis_phenotype
BCL2L1_rna,force=1,2,True,2,7,0,0,False,Chemotaxis_Infiltration_phenotype|Regulated_Necrosis_phenotype
BCL2_rna,force=0,2,True,2,7,0,0,False,Chemotaxis_Infiltration_phenotype|Regulated_Necrosis_phenotype
BCL2_rna,force=1,2,True,2,7,0,0,False,Chemotaxis_Infiltration_phenotype|Regulated_Necrosis_phenotype
BIRC2_Cell,force=0,2,True,2,7,0,0,False,Chemotaxis_Infiltration_phenotype|Regulated_Necrosis_phenotype
BIRC2_Cell,force=1,2,True,2,7,0,0,False,Chemotaxis_Infiltration_phenotype|Regulated_Necrosis_phenotype
BIRC2_rna,force=0,2,True,2,7,0,0,False,Chemotaxis_Infiltration_phenotype|Regulated_Necrosis_phenotype
BIRC2_rna,force=1,2,True,2,7,0,0,False,Chemotaxis_Infiltration_phenotype|Regulated_Necrosis_phenotype
B_Cell_Activation_Survival_phenotype,force=0,2,True,2,6,0,1,False,Chemotaxis_Infiltration_phenotype|Regulated_Necrosis_phenotype
B_Cell_Activation_Survival_phenotype,force=1,2,True,3,7,-1,0,False,B_Cell_Activation_Survival_phenotype|Chemotaxis_Infiltration_phenotype|Regulated_Necrosis_phenotype
CASP3,force=0,2,True,2,7,0,0,False,Chemotaxis_Infiltration_phenotype|Regulated_Necrosis_phenotype
