drug,mechanism,best_phase,condition,targets_found,base_n_fp,base_min_pheno,pert_n_fp,pert_min_pheno,delta_min_pheno,disease_eliminated,pert_best_phenos,expected_effect
Filgotinib,JAK1 inhibitor,2,Naive,JAK1_phosphorylated,2,2,2,2,0,False,Chemotaxis Infiltration|Regulated Necrosis,↓ JAK-STAT signaling
Filgotinib,JAK1 inhibitor,2,IFN-stimulated,JAK1_phosphorylated,2,6,2,6,0,False,B Cell Activation Survival|Chemotaxis Infiltration|Inflammation|MHC Class 2 Activation|Regulated Necrosis|T Cell Activation Differentiation,↓ JAK-STAT signaling
Filgotinib,JAK1 inhibitor,2,BCR-stimulated,JAK1_phosphorylated,2,7,2,7,0,False,B Cell Activation Survival|Cell Proliferation Survival|Chemotaxis Infiltration|Inflammation|MHC Class 2 Activation|Regulated Necrosis|T Cell Activation Differentiation,↓ JAK-STAT signaling
Baricitinib,JAK1/2 inhibitor,2,Naive,JAK1_phosphorylated|JAK2_phosphorylated,2,2,2,2,0,False,Chemotaxis Infiltration|Regulated Necrosis,↓ JAK-STAT signaling
Baricitinib,JAK1/2 inhibitor,2,IFN-stimulated,JAK1_phosphorylated|JAK2_phosphorylated,2,6,2,2,4,False,Chemotaxis Infiltration|Regulated Necrosis,↓ JAK-STAT signaling
Baricitinib,JAK1/2 inhibitor,2,BCR-stimulated,JAK1_phosphorylated|JAK2_phosphorylated,2,7,2,7,0,False,B Cell Activation Survival|Cell Proliferation Survival|Chemotaxis Infiltration|Inflammation|MHC Class 2 Activation|Regulated Necrosis|T Cell Activation Differentiation,↓ JAK-STAT signaling
Tofacitinib,pan-JAK inhibitor,2,Naive,JAK1_phosphorylated|JAK2_phosphorylated|JAK3_phosphorylated|TYK2_phosphorylated,2,2,2,2,0,False,Chemotaxis Infiltration|Regulated Necrosis,↓ JAK-STAT signaling
Tofacitinib,pan-JAK inhibitor,2,IFN-stimulated,JAK1_phosphorylated|JAK2_phosphorylated|JAK3_phosphorylated|TYK2_phosphorylated,2,6,2,2,4,False,Chemotaxis Infiltration|Regulated Necrosis,↓ JAK-STAT signaling
Tofacitinib,pan-JAK inhibitor,2,BCR-stimulated,JAK1_phosphorylated|JAK2_phosphorylated|JAK3_phosphorylated|TYK2_phosphorylated,2,7,2,7,0,False,B Cell Activation Survival|Cell Proliferation Survival|Chemotaxis Infiltration|Inflammation|MHC Class 2 Activation|Regulated Necrosis|T Cell Activation Differentiation,↓ JAK-STAT signaling
Tirabrutinib,BTK inhibitor,2,Naive,BTK_phosphorylated,2,2,2,2,0,False,Chemotaxis Infiltration|Regulated Necrosis,↓ BCR signaling
