source,target,node_disjoint_paths
IFNA_Extracellular_ligands,MAPK11_12_13_14_phosphorylated,1
IFNA_Extracellular_ligands,AP1_complex,1
IFNA_Extracellular_ligands,STAT1_phosphorylated,1
IFNB1_Extracellular_ligands,MAPK11_12_13_14_phosphorylated,1
IFNB1_Extracellular_ligands,AP1_complex,1
IFNB1_Extracellular_ligands,STAT1_phosphorylated,1
IFNG_IFNGR_complex,MAPK11_12_13_14_phosphorylated,1
IFNG_IFNGR_complex,AP1_complex,1
IFNG_IFNGR_complex,STAT1_phosphorylated,1
BCR_complex,MAPK11_12_13_14_phosphorylated,1
BCR_complex,AP1_complex,1
BCR_complex,STAT1_phosphorylated,0
CpG_DNA_TLR9_complex,MAPK11_12_13_14_phosphorylated,2
CpG_DNA_TLR9_complex,AP1_complex,2
CpG_DNA_TLR9_complex,STAT1_phosphorylated,0
LPS_CD14_TL4_LY96_complex,MAPK11_12_13_14_phosphorylated,2
LPS_CD14_TL4_LY96_complex,AP1_complex,2
LPS_CD14_TL4_LY96_complex,STAT1_phosphorylated,0
