condition,node_a,node_b,baseline_max_disease,mono_a_max_disease,mono_b_max_disease,pair_n_fp,pair_max_disease,pair_eliminates,synergy
Naive (homeostatic),AP1_complex,BTK_phosphorylated,7,2,7,2,2,1,0
Naive (homeostatic),AP1_complex,EIF2AK2_homodimer,7,2,2,1,2,1,0
Naive (homeostatic),AP1_complex,FOS_phosphorylated,7,2,2,2,2,1,0
Naive (homeostatic),AP1_complex,JAK1_phosphorylated,7,2,7,2,2,1,0
Naive (homeostatic),AP1_complex,JAK2_phosphorylated,7,2,7,2,2,1,0
Naive (homeostatic),AP1_complex,JAK3_phosphorylated,7,2,7,2,2,1,0
Naive (homeostatic),AP1_complex,JUN_phosphorylated,7,2,2,2,2,1,0
Naive (homeostatic),AP1_complex,MAP2K6_phosphorylated,7,2,2,2,2,1,0
Naive (homeostatic),AP1_complex,MAPK11_12_13_14_phosphorylated,7,2,2,2,2,1,0
Naive (homeostatic),AP1_complex,STAT2_phosphorylated,7,2,7,2,2,1,0
Naive (homeostatic),AP1_complex,SYK_phosphorylated,7,2,7,2,2,1,0
Naive (homeostatic),AP1_complex,TNFRSF13C,7,2,7,2,2,1,0
Naive (homeostatic),AP1_complex,TYK2_phosphorylated,7,2,7,2,2,1,0
Naive (homeostatic),BTK_phosphorylated,EIF2AK2_homodimer,7,7,2,1,2,1,0
Naive (homeostatic),BTK_phosphorylated,FOS_phosphorylated,7,7,2,2,2,1,0
Naive (homeostatic),BTK_phosphorylated,JAK1_phosphorylated,7,7,7,2,7,0,0
Naive (homeostatic),BTK_phosphorylated,JAK2_phosphorylated,7,7,7,2,7,0,0
Naive (homeostatic),BTK_phosphorylated,JAK3_phosphorylated,7,7,7,2,7,0,0
Naive (homeostatic),BTK_phosphorylated,JUN_phosphorylated,7,7,2,2,2,1,0
Naive (homeostatic),BTK_phosphorylated,MAP2K6_phosphorylated,7,7,2,2,2,1,0
Naive (homeostatic),BTK_phosphorylated,MAPK11_12_13_14_phosphorylated,7,7,2,2,2,1,0
Naive (homeostatic),BTK_phosphorylated,STAT2_phosphorylated,7,7,7,2,7,0,0
Naive (homeostatic),BTK_phosphorylated,SYK_phosphorylated,7,7,7,2,7,0,0
Naive (homeostatic),BTK_phosphorylated,TNFRSF13C,7,7,7,2,7,0,0
Naive (homeostatic),BTK_phosphorylated,TYK2_phosphorylated,7,7,7,2,7,0,0
Naive (homeostatic),EIF2AK2_homodimer,FOS_phosphorylated,7,2,2,1,2,1,0
Naive (homeostatic),EIF2AK2_homodimer,JAK1_phosphorylated,7,2,7,1,2,1,0
Naive (homeostatic),EIF2AK2_homodimer,JAK2_phosphorylated,7,2,7,1,2,1,0
Naive (homeostatic),EIF2AK2_homodimer,JAK3_phosphorylated,7,2,7,1,2,1,0
Naive (homeostatic),EIF2AK2_homodimer,JUN_phosphorylated,7,2,2,1,2,1,0
Naive (homeostatic),EIF2AK2_homodimer,MAP2K6_phosphorylated,7,2,2,1,2,1,0
Naive (homeostatic),EIF2AK2_homodimer,MAPK11_12_13_14_phosphorylated,7,2,2,1,2,1,0
Naive (homeostatic),EIF2AK2_homodimer,STAT2_phosphorylated,7,2,7,1,2,1,0
Naive (homeostatic),EIF2AK2_homodimer,SYK_phosphorylated,7,2,7,1,2,1,0
Naive (homeostatic),EIF2AK2_homodimer,TNFRSF13C,7,2,7,1,2,1,0
Naive (homeostatic),EIF2AK2_homodimer,TYK2_phosphorylated,7,2,7,1,2,1,0
Naive (homeostatic),FOS_phosphorylated,JAK1_phosphorylated,7,2,7,2,2,1,0
Naive (homeostatic),FOS_phosphorylated,JAK2_phosphorylated,7,2,7,2,2,1,0
Naive (homeostatic),FOS_phosphorylated,JAK3_phosphorylated,7,2,7,2,2,1,0
Naive (homeostatic),FOS_phosphorylated,JUN_phosphorylated,7,2,2,2,2,1,0
Naive (homeostatic),FOS_phosphorylated,MAP2K6_phosphorylated,7,2,2,2,2,1,0
Naive (homeostatic),FOS_phosphorylated,MAPK11_12_13_14_phosphorylated,7,2,2,2,2,1,0
Naive (homeostatic),FOS_phosphorylated,STAT2_phosphorylated,7,2,7,2,2,1,0
Naive (homeostatic),FOS_phosphorylated,SYK_phosphorylated,7,2,7,2,2,1,0
Naive (homeostatic),FOS_phosphorylated,TNFRSF13C,7,2,7,2,2,1,0
Naive (homeostatic),FOS_phosphorylated,TYK2_phosphorylated,7,2,7,2,2,1,0
Naive (homeostatic),JAK1_phosphorylated,JAK2_phosphorylated,7,7,7,2,7,0,0
Naive (homeostatic),JAK1_phosphorylated,JAK3_phosphorylated,7,7,7,2,7,0,0
