condition,attractor,library,term,p_value,adj_p_value,overlap,genes
Naive (homeostatic),A1,KEGG_2021_Human,p53 signaling pathway,8.444704345345863e-20,1.3427079909099919e-17,11/73,CDKN1A;RRM2;CD82;GADD45B;CASP3;SESN1;SHISA5;MDM2
Naive (homeostatic),A1,KEGG_2021_Human,Epstein-Barr virus infection,1.532880515238801e-16,1.2186400096148471e-14,12/202,MAPK11;CDKN1A;JUN;GADD45B;STAT1;CASP3;MDM2;EIF2AK2
Naive (homeostatic),A1,KEGG_2021_Human,T cell receptor signaling pathway,5.439348292610003e-16,2.3864342194785484e-14,10/104,IL10;IL4;MAPK11;JUN;CSF2;IL5;IFNG;FOS
Naive (homeostatic),A1,KEGG_2021_Human,Inflammatory bowel disease,6.003608099317103e-16,2.3864342194785484e-14,9/65,IL10;IL4;JUN;IL5;IFNG;STAT1;TNF;TLR4
Naive (homeostatic),A1,KEGG_2021_Human,Hepatitis B,7.777498117420655e-16,2.4732444013397683e-14,11/162,MAPK11;CDKN1A;JUN;STAT1;CASP3;FAS;FOS;TNF
Naive (homeostatic),A1,KEGG_2021_Human,Leishmaniasis,2.992408466840556e-15,7.929882437127473e-14,9/77,IL10;IL4;MAPK11;JUN;IFNG;STAT1;FOS;TNF
Naive (homeostatic),A1,KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,5.482060583671335e-15,1.245210904005346e-13,11/193,MAPK11;CDKN1A;JUN;CSF2;STAT1;CASP3;EIF2AK2;FAS
Naive (homeostatic),A1,KEGG_2021_Human,Lipid and atherosclerosis,1.813401593859572e-14,3.424886334635491e-13,11/215,MAPK11;JUN;CASP3;LY96;FAS;TNFRSF10A;FOS;TNF
Naive (homeostatic),A1,KEGG_2021_Human,IL-17 signaling pathway,1.938614906397448e-14,3.424886334635491e-13,9/94,IL4;MAPK11;JUN;CSF2;IL5;IFNG;CASP3;FOS
Naive (homeostatic),A1,KEGG_2021_Human,Pathways in cancer,2.218624278434896e-14,3.5276126027114854e-13,14/531,CDKN1A;JUN;GADD45B;MAX;STAT1;FOS;IL2;IL4
