cohort,library,term,p_value,adj_p_value,overlap
PRECISESADS,KEGG_2021_Human,NOD-like receptor signaling pathway,6.893040040573356e-16,1.5785061692912988e-13,29/181
PRECISESADS,KEGG_2021_Human,Influenza A,4.950168450646899e-12,5.667942875990701e-10,24/172
PRECISESADS,KEGG_2021_Human,Coronavirus disease,1.7723051502608112e-11,1.352859598032419e-09,27/232
PRECISESADS,KEGG_2021_Human,Epstein-Barr virus infection,1.551480140953853e-10,8.88222380696081e-09,24/202
PRECISESADS,KEGG_2021_Human,Measles,7.882389801894853e-09,3.610134529267843e-07,18/139
PRECISESADS,KEGG_2021_Human,Hepatitis C,1.4707071134599669e-06,5.613198816372205e-05,16/157
PRECISESADS,KEGG_2021_Human,Osteoclast differentiation,2.621441848619357e-06,8.575859761911899e-05,14/127
PRECISESADS,KEGG_2021_Human,Phagosome,4.657987854296407e-06,0.00013333490232923464,15/152
PRECISESADS,KEGG_2021_Human,Toll-like receptor signaling pathway,8.445868092767434e-06,0.0002149004214715269,12/104
PRECISESADS,KEGG_2021_Human,Leishmaniasis,1.6717846848649916e-05,0.0003828386928340831,10/77
PRECISESADS,Reactome_2022,Interferon Signaling R-HSA-913531,4.1693875136516866e-41,3.5106242864947206e-38,54/200
PRECISESADS,Reactome_2022,Immune System R-HSA-168256,8.316836182681718e-38,3.501388032909004e-35,147/1943
PRECISESADS,Reactome_2022,Interferon Alpha/Beta Signaling R-HSA-909733,2.5936342179479048e-34,7.279466705040454e-32,33/72
PRECISESADS,Reactome_2022,Interferon Gamma Signaling R-HSA-877300,3.8756197380255104e-25,8.158179548543698e-23,29/89
PRECISESADS,Reactome_2022,Cytokine Signaling In Immune System R-HSA-1280215,7.854131655095993e-25,1.3226357707181655e-22,71/702
PRECISESADS,Reactome_2022,Innate Immune System R-HSA-168249,1.0232808478246238e-18,1.4360041231138886e-16,77/1035
PRECISESADS,Reactome_2022,Antiviral Mechanism By IFN-stimulated Genes R-HSA-1169410,1.3390431244185396e-10,1.6106775868005865e-08,16/83
PRECISESADS,Reactome_2022,Neutrophil Degranulation R-HSA-6798695,4.37801852827238e-09,4.6078645010066804e-07,35/468
PRECISESADS,Reactome_2022,Adaptive Immune System R-HSA-1280218,3.5644849590295925e-08,3.3347737061143524e-06,44/733
PRECISESADS,Reactome_2022,ISG15 Antiviral Mechanism R-HSA-1169408,2.4125673125939413e-07,2.0313816772040982e-05,12/75
UKPSSR,KEGG_2021_Human,Leishmaniasis,4.218490936911834e-07,8.35261205508543e-05,7/77
UKPSSR,KEGG_2021_Human,Phagosome,4.0302589672127545e-06,0.0003989956377540627,8/152
UKPSSR,KEGG_2021_Human,Antigen processing and presentation,0.00011067541814891416,0.0048819165930891,5/78
UKPSSR,KEGG_2021_Human,NOD-like receptor signaling pathway,0.00011739032395023976,0.0048819165930891,7/181
UKPSSR,KEGG_2021_Human,Osteoclast differentiation,0.00012328072204770589,0.0048819165930891,6/127
UKPSSR,KEGG_2021_Human,Fc gamma R-mediated phagocytosis,0.0003083816743198313,0.0101765952525544,5/97
UKPSSR,KEGG_2021_Human,Influenza A,0.0006300455365582351,0.0160250637133031,6/172
UKPSSR,KEGG_2021_Human,Leukocyte transendothelial migration,0.0006474773217496232,0.0160250637133031,5/114
UKPSSR,KEGG_2021_Human,Tuberculosis,0.0007990772104557392,0.0171422928361788,6/180
UKPSSR,KEGG_2021_Human,Endocytosis,0.0008657723654635797,0.0171422928361788,7/252
UKPSSR,Reactome_2022,Immune System R-HSA-168256,1.717572372209864e-18,9.154660743878577e-16,48/1943
UKPSSR,Reactome_2022,Interferon Signaling R-HSA-913531,4.472025391228932e-15,1.1917947667625104e-12,17/200
UKPSSR,Reactome_2022,Interferon Gamma Signaling R-HSA-877300,2.2086686083177118e-13,3.9240678941111335e-11,12/89
UKPSSR,Reactome_2022,Innate Immune System R-HSA-168249,1.5292557416375355e-11,2.037733275732016e-09,28/1035
UKPSSR,Reactome_2022,Neutrophil Degranulation R-HSA-6798695,4.442158420353362e-10,4.409896440642725e-08,18/468
UKPSSR,Reactome_2022,Interferon Alpha/Beta Signaling R-HSA-909733,4.964236143312636e-10,4.409896440642725e-08,9/72
UKPSSR,Reactome_2022,Cytokine Signaling In Immune System R-HSA-1280215,4.3551640041256695e-08,3.3161463059985447e-06,19/702
UKPSSR,Reactome_2022,Infectious Disease R-HSA-5663205,4.986574491598036e-06,0.0003322305255027191,19/961
UKPSSR,Reactome_2022,Adaptive Immune System R-HSA-1280218,8.93009760275169e-06,0.0005288602246962946,16/733
UKPSSR,Reactome_2022,Disease R-HSA-1643685,1.2127435572033148e-05,0.0006463923159893667,26/1736
GSE51092,KEGG_2021_Human,Influenza A,2.604229767955153e-10,6.666828205965191e-08,23/172
GSE51092,KEGG_2021_Human,NOD-like receptor signaling pathway,2.0604329551201012e-08,2.637354182553729e-06,21/181
GSE51092,KEGG_2021_Human,Coronavirus disease,5.207528404655634e-06,0.0003539363986061974,20/232
GSE51092,KEGG_2021_Human,Hepatitis C,5.530256228221834e-06,0.0003539363986061974,16/157
GSE51092,KEGG_2021_Human,Measles,0.00010090731402897886,0.0051664544782837,13/139
GSE51092,KEGG_2021_Human,Epstein-Barr virus infection,0.0001231194168745796,0.005253095119982,16/202
GSE51092,KEGG_2021_Human,Transcriptional misregulation in cancer,0.0002309637311454045,0.0078473399939616,15/192
GSE51092,KEGG_2021_Human,Carbohydrate digestion and absorption,0.0002452293748113018,0.0078473399939616,7/47
GSE51092,KEGG_2021_Human,Acute myeloid leukemia,0.0004262495686964262,0.0121244321762539,8/67
GSE51092,KEGG_2021_Human,Leishmaniasis,0.0010878864706688,0.0259392321058402,8/77
GSE51092,Reactome_2022,Interferon Signaling R-HSA-913531,1.2927538073747519e-27,1.2733625002641308e-24,44/200
GSE51092,Reactome_2022,Interferon Alpha/Beta Signaling R-HSA-909733,7.504397811734579e-23,2.7285058939355496e-20,26/72
GSE51092,Reactome_2022,Cytokine Signaling In Immune System R-HSA-1280215,8.3101702353367e-23,2.7285058939355496e-20,72/702
GSE51092,Reactome_2022,Interferon Gamma Signaling R-HSA-877300,1.127577907101092e-16,2.7766605962364393e-14,23/89
GSE51092,Reactome_2022,Immune System R-HSA-168256,6.836880373233306e-16,1.3468654335269613e-13,114/1943
GSE51092,Reactome_2022,Signaling By Interleukins R-HSA-449147,7.807280718659062e-07,0.0001281695251313196,32/453
GSE51092,Reactome_2022,Antiviral Mechanism By IFN-stimulated Genes R-HSA-1169410,2.207916508769437e-06,0.0003106853944482708,12/83
GSE51092,Reactome_2022,Regulation Of IFNG Signaling R-HSA-877312,2.2835873653814028e-05,0.0028116669436258,5/14
GSE51092,Reactome_2022,OAS Antiviral Response R-HSA-8983711,5.901607939329526e-05,0.0064589820224884,4/9
GSE51092,Reactome_2022,SARS-CoV Infections R-HSA-9679506,7.00918779917721e-05,0.0069040499821895,24/369
