node,value,max_disease,in_ap1_p38,eliminates_thr5,eliminates_thr6,eliminates_thr7
AP1_complex,0,2,1,1,1,1
AP1_complex,1,7,1,0,0,0
Angiogenesis_phenotype,0,7,0,0,0,0
Angiogenesis_phenotype,1,7,0,0,0,0
Apoptosis_phenotype,0,7,0,0,0,0
Apoptosis_phenotype,1,7,0,0,0,0
BCL2A1_rna,0,7,0,0,0,0
BCL2A1_rna,1,7,0,0,0,0
BCL2L1_rna,0,7,0,0,0,0
BCL2L1_rna,1,7,0,0,0,0
BCL2_rna,0,7,0,0,0,0
BCL2_rna,1,7,0,0,0,0
BIRC2_Cell,0,7,0,0,0,0
BIRC2_Cell,1,7,0,0,0,0
BIRC2_rna,0,7,0,0,0,0
BIRC2_rna,1,7,0,0,0,0
B_Cell_Activation_Survival_phenotype,0,6,0,0,0,1
B_Cell_Activation_Survival_phenotype,1,7,0,0,0,0
CASP3,0,7,0,0,0,0
CASP3,1,7,0,0,0,0
CCL13,0,7,0,0,0,0
CCL13,1,7,0,0,0,0
CCL19_Secreted_molecules,0,7,0,0,0,0
CCL19_Secreted_molecules,1,7,0,0,0,0
CCL21_Secreted_molecules,0,7,0,0,0,0
CCL21_Secreted_molecules,1,7,0,0,0,0
CCL4,0,7,0,0,0,0
CCL4,1,7,0,0,0,0
CD82_rna,0,7,0,0,0,0
CD82_rna,1,7,0,0,0,0
CDKN1A_rna,0,7,0,0,0,0
CDKN1A_rna,1,7,0,0,0,0
CFLAR,0,7,0,0,0,0
CFLAR,1,7,0,0,0,0
CFLAR_rna,0,7,0,0,0,0
CFLAR_rna,1,7,0,0,0,0
CSF2,0,7,0,0,0,0
CSF2,1,7,0,0,0,0
CXCL12_Secreted_molecules,0,7,0,0,0,0
CXCL12_Secreted_molecules,1,7,0,0,0,0
CXCL1_Secreted_molecules,0,7,0,0,0,0
CXCL1_Secreted_molecules,1,7,0,0,0,0
CXCL2,0,7,0,0,0,0
CXCL2,1,7,0,0,0,0
CXCL3,0,7,0,0,0,0
CXCL3,1,7,0,0,0,0
CXCL8,0,7,0,0,0,0
CXCL8,1,7,0,0,0,0
Cell_Proliferation_Survival_phenotype,0,6,0,0,0,1
Cell_Proliferation_Survival_phenotype,1,7,0,0,0,0
EIF2AK2_homodimer,0,2,1,1,1,1
EIF2AK2_homodimer,1,7,1,0,0,0
FAS,0,7,0,0,0,0
FAS,1,7,0,0,0,0
FAS_rna,0,7,0,0,0,0
FAS_rna,1,7,0,0,0,0
FOS_phosphorylated,0,2,1,1,1,1
FOS_phosphorylated,1,7,1,0,0,0
GADD45B_rna,0,7,0,0,0,0
GADD45B_rna,1,7,0,0,0,0
ICAM1_rna,0,7,0,0,0,0
ICAM1_rna,1,7,0,0,0,0
IFNG,0,6,0,0,0,1
IFNG,1,7,0,0,0,0
IKBIP,0,7,0,0,0,0
