node,kind,in_degree,out_degree,betweenness,ancestors,descendants,in_module
EIF2AK2_homodimer,ap1_p38,6,5,0.009341,62,109,1
MAP2K6_phosphorylated,ap1_p38,3,1,0.004602,240,18,1
MAPK11_12_13_14_phosphorylated,ap1_p38,3,3,0.005902,242,17,1
FOS_phosphorylated,ap1_p38,3,1,0.004,260,14,1
JUN_phosphorylated,ap1_p38,3,1,0.004027,260,14,1
AP1_complex,ap1_p38,2,7,0.007104,262,13,1
JAK1_phosphorylated,control,13,1,0.027853,44,317,0
STAT1_phosphorylated,control,3,2,0.051011,44,317,0
STAT1_STAT2_IRF9_complex_nucleus,control,2,40,0.032803,44,317,0
BTK_phosphorylated,control,2,1,0.00803,60,119,0
SYK_phosphorylated,control,6,1,0.009419,58,127,0
RELA_NFKB1_complex,control,1,27,0.053202,231,86,0
MAPK3_phosphorylated,control,4,2,0.003392,122,16,0
MAPK8_9_10_phosphorylated,control,4,4,0.002578,236,21,0
Inflammation_phenotype,control,44,0,0.0,366,0,0
B_Cell_Activation_Survival_phenotype,control,9,0,0.0,304,0,0
T_Cell_Activation_Differentiation_phenotype,control,11,0,0.0,299,0,0
